evaluate_round 10 received 1 results and 0 timeouts
time: 156.731427916
losses_distributed: [[1.150189757347107], [1.146742820739746], [1.1269620656967163], [1.0131092071533203], [0.9451127052307129], [0.8873835206031799], [0.8384678959846497], [0.8059147000312805], [0.7854608297348022], [0.7616937756538391]]
metrics_distributed: [[0.10482096419283857], [0.15283056611322265], [0.19623924784956992], [0.2750550110022004], [0.3218643728745749], [0.3606721344268854], [0.3846769353870774], [0.40788157631526306], [0.42568513702740546], [0.44248849769953996]]
evaluate_round 11 received 1 results and 0 timeouts
time: 172.023959291
losses_distributed: [[1.150189757347107], [1.146742820739746], [1.1269620656967163], [1.0131092071533203], [0.9451127052307129], [0.8873835206031799], [0.8384678959846497], [0.8059147000312805], [0.7854608297348022], [0.7616937756538391], [0.7532367706298828]]
metrics_distributed: [[0.10482096419283857], [0.15283056611322265], [0.19623924784956992], [0.2750550110022004], [0.3218643728745749], [0.3606721344268854], [0.3846769353870774], [0.40788157631526306], [0.42568513702740546], [0.44248849769953996], [0.44748949789958]]
evaluate_round 12 received 1 results and 0 timeouts
time: 187.388872416
losses_distributed: [[1.150189757347107], [1.146742820739746], [1.1269620656967163], [1.0131092071533203], [0.9451127052307129], [0.8873835206031799], [0.8384678959846497], [0.8059147000312805], [0.7854608297348022], [0.7616937756538391], [0.7532367706298828], [0.7305774688720703]]
metrics_distributed: [[0.10482096419283857], [0.15283056611322265], [0.19623924784956992], [0.2750550110022004], [0.3218643728745749], [0.3606721344268854], [0.3846769353870774], [0.40788157631526306], [0.42568513702740546], [0.44248849769953996], [0.44748949789958], [0.46769353870774155]]
evaluate_round 13 received 1 results and 0 timeouts
time: 202.72282225
losses_distributed: [[1.150189757347107], [1.146742820739746], [1.1269620656967163], [1.0131092071533203], [0.9451127052307129], [0.8873835206031799], [0.8384678959846497], [0.8059147000312805], [0.7854608297348022], [0.7616937756538391], [0.7532367706298828], [0.7305774688720703], [0.7192679047584534]]
metrics_distributed: [[0.10482096419283857], [0.15283056611322265], [0.19623924784956992], [0.2750550110022004], [0.3218643728745749], [0.3606721344268854], [0.3846769353870774], [0.40788157631526306], [0.42568513702740546], [0.44248849769953996], [0.44748949789958], [0.46769353870774155], [0.4742948589717944]]
evaluate_round 14 received 1 results and 0 timeouts
time: 217.976606875
losses_distributed: [[1.150189757347107], [1.146742820739746], [1.1269620656967163], [1.0131092071533203], [0.9451127052307129], [0.8873835206031799], [0.8384678959846497], [0.8059147000312805], [0.7854608297348022], [0.7616937756538391], [0.7532367706298828], [0.7305774688720703], [0.7192679047584534], [0.7125977277755737]]
metrics_distributed: [[0.10482096419283857], [0.15283056611322265], [0.19623924784956992], [0.2750550110022004], [0.3218643728745749], [0.3606721344268854], [0.3846769353870774], [0.40788157631526306], [0.42568513702740546], [0.44248849769953996], [0.44748949789958], [0.46769353870774155], [0.4742948589717944], [0.4720944188837767]]
evaluate_round 15 received 1 results and 0 timeouts
time: 233.2346575
losses_distributed: [[1.150189757347107], [1.146742820739746], [1.1269620656967163], [1.0131092071533203], [0.9451127052307129], [0.8873835206031799], [0.8384678959846497], [0.8059147000312805], [0.7854608297348022], [0.7616937756538391], [0.7532367706298828], [0.7305774688720703], [0.7192679047584534], [0.7125977277755737], [0.710665762424469]]
metrics_distributed: [[0.10482096419283857], [0.15283056611322265], [0.19623924784956992], [0.2750550110022004], [0.3218643728745749], [0.3606721344268854], [0.3846769353870774], [0.40788157631526306], [0.42568513702740546], [0.44248849769953996], [0.44748949789958], [0.46769353870774155], [0.4742948589717944], [0.4720944188837767], [0.48549709941988406]]
evaluate_round 16 received 1 results and 0 timeouts
time: 248.537416375
losses_distributed: [[1.150189757347107], [1.146742820739746], [1.1269620656967163], [1.0131092071533203], [0.9451127052307129], [0.8873835206031799], [0.8384678959846497], [0.8059147000312805], [0.7854608297348022], [0.7616937756538391], [0.7532367706298828], [0.7305774688720703], [0.7192679047584534], [0.7125977277755737], [0.710665762424469], [0.6968768835067749]]
metrics_distributed: [[0.10482096419283857], [0.15283056611322265], [0.19623924784956992], [0.2750550110022004], [0.3218643728745749], [0.3606721344268854], [0.3846769353870774], [0.40788157631526306], [0.42568513702740546], [0.44248849769953996], [0.44748949789958], [0.46769353870774155], [0.4742948589717944], [0.4720944188837767], [0.48549709941988406], [0.49349869973994803]]
evaluate_round 17 received 1 results and 0 timeouts
time: 263.976819666
losses_distributed: [[1.150189757347107], [1.146742820739746], [1.1269620656967163], [1.0131092071533203], [0.9451127052307129], [0.8873835206031799], [0.8384678959846497], [0.8059147000312805], [0.7854608297348022], [0.7616937756538391], [0.7532367706298828], [0.7305774688720703], [0.7192679047584534], [0.7125977277755737], [0.710665762424469], [0.6968768835067749], [0.6930058002471924]]
