DEBUG flower 2022-12-21 16:12:14,197 | server.py:165 | evaluate_round 36: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 16:12:51,483 | server.py:179 | evaluate_round 36 received 1 results and 1 failures
DEBUG flower 2022-12-21 16:12:53,595 | server.py:215 | fit_round 37: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 16:16:37,866 | server.py:229 | fit_round 37 received 2 results and 0 failures
DEBUG flower 2022-12-21 16:16:37,869 | server.py:165 | evaluate_round 37: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 16:17:15,576 | server.py:179 | evaluate_round 37 received 1 results and 1 failures
DEBUG flower 2022-12-21 16:17:17,744 | server.py:215 | fit_round 38: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 16:20:43,609 | server.py:229 | fit_round 38 received 2 results and 0 failures
DEBUG flower 2022-12-21 16:20:43,611 | server.py:165 | evaluate_round 38: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 16:21:23,732 | server.py:179 | evaluate_round 38 received 1 results and 1 failures
DEBUG flower 2022-12-21 16:21:26,251 | server.py:215 | fit_round 39: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 16:24:37,194 | server.py:229 | fit_round 39 received 2 results and 0 failures
DEBUG flower 2022-12-21 16:24:37,197 | server.py:165 | evaluate_round 39: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 16:25:13,342 | server.py:179 | evaluate_round 39 received 1 results and 1 failures
DEBUG flower 2022-12-21 16:25:15,497 | server.py:215 | fit_round 40: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 16:28:30,834 | server.py:229 | fit_round 40 received 2 results and 0 failures
DEBUG flower 2022-12-21 16:28:30,836 | server.py:165 | evaluate_round 40: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 16:29:05,539 | server.py:179 | evaluate_round 40 received 1 results and 1 failures
DEBUG flower 2022-12-21 16:29:08,018 | server.py:215 | fit_round 41: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 16:32:11,405 | server.py:229 | fit_round 41 received 2 results and 0 failures
DEBUG flower 2022-12-21 16:32:11,408 | server.py:165 | evaluate_round 41: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 16:32:41,517 | server.py:179 | evaluate_round 41 received 1 results and 1 failures
DEBUG flower 2022-12-21 16:32:43,729 | server.py:215 | fit_round 42: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 16:35:46,253 | server.py:229 | fit_round 42 received 2 results and 0 failures
DEBUG flower 2022-12-21 16:35:46,255 | server.py:165 | evaluate_round 42: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 16:36:24,869 | server.py:179 | evaluate_round 42 received 2 results and 0 failures
DEBUG flower 2022-12-21 16:36:24,869 | server.py:215 | fit_round 43: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 16:39:45,563 | server.py:229 | fit_round 43 received 2 results and 0 failures
DEBUG flower 2022-12-21 16:39:45,565 | server.py:165 | evaluate_round 43: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 16:40:24,995 | server.py:179 | evaluate_round 43 received 2 results and 0 failures
DEBUG flower 2022-12-21 16:40:24,995 | server.py:215 | fit_round 44: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 16:43:45,072 | server.py:229 | fit_round 44 received 2 results and 0 failures
DEBUG flower 2022-12-21 16:43:45,075 | server.py:165 | evaluate_round 44: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 16:44:19,241 | server.py:179 | evaluate_round 44 received 2 results and 0 failures
DEBUG flower 2022-12-21 16:44:19,241 | server.py:215 | fit_round 45: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 16:47:04,296 | server.py:229 | fit_round 45 received 2 results and 0 failures
DEBUG flower 2022-12-21 16:47:04,298 | server.py:165 | evaluate_round 45: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 16:47:34,071 | server.py:179 | evaluate_round 45 received 2 results and 0 failures
DEBUG flower 2022-12-21 16:47:34,071 | server.py:215 | fit_round 46: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 16:51:02,546 | server.py:229 | fit_round 46 received 2 results and 0 failures
DEBUG flower 2022-12-21 16:51:02,549 | server.py:165 | evaluate_round 46: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 16:51:42,066 | server.py:179 | evaluate_round 46 received 1 results and 1 failures
DEBUG flower 2022-12-21 16:51:44,466 | server.py:215 | fit_round 47: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 16:54:47,332 | server.py:229 | fit_round 47 received 2 results and 0 failures
DEBUG flower 2022-12-21 16:54:47,334 | server.py:165 | evaluate_round 47: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 16:55:28,583 | server.py:179 | evaluate_round 47 received 1 results and 1 failures
DEBUG flower 2022-12-21 16:55:30,703 | server.py:215 | fit_round 48: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 16:59:11,083 | server.py:229 | fit_round 48 received 2 results and 0 failures
DEBUG flower 2022-12-21 16:59:11,085 | server.py:165 | evaluate_round 48: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 16:59:37,990 | server.py:179 | evaluate_round 48 received 1 results and 1 failures
DEBUG flower 2022-12-21 16:59:40,275 | server.py:215 | fit_round 49: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 17:02:20,790 | server.py:229 | fit_round 49 received 2 results and 0 failures
DEBUG flower 2022-12-21 17:02:20,792 | server.py:165 | evaluate_round 49: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 17:03:01,591 | server.py:179 | evaluate_round 49 received 1 results and 1 failures
DEBUG flower 2022-12-21 17:03:03,958 | server.py:215 | fit_round 50: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 17:06:10,125 | server.py:229 | fit_round 50 received 2 results and 0 failures
DEBUG flower 2022-12-21 17:06:10,127 | server.py:165 | evaluate_round 50: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 17:06:47,875 | server.py:179 | evaluate_round 50 received 1 results and 1 failures
DEBUG flower 2022-12-21 17:06:49,550 | server.py:215 | fit_round 51: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 17:10:30,044 | server.py:229 | fit_round 51 received 2 results and 0 failures
DEBUG flower 2022-12-21 17:10:30,046 | server.py:165 | evaluate_round 51: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 17:11:07,512 | server.py:179 | evaluate_round 51 received 1 results and 1 failures
DEBUG flower 2022-12-21 17:11:09,173 | server.py:215 | fit_round 52: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 17:14:14,532 | server.py:229 | fit_round 52 received 2 results and 0 failures
DEBUG flower 2022-12-21 17:14:14,534 | server.py:165 | evaluate_round 52: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 17:14:48,211 | server.py:179 | evaluate_round 52 received 1 results and 1 failures
DEBUG flower 2022-12-21 17:14:50,675 | server.py:215 | fit_round 53: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 17:17:54,348 | server.py:229 | fit_round 53 received 2 results and 0 failures
DEBUG flower 2022-12-21 17:17:54,350 | server.py:165 | evaluate_round 53: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 17:18:32,677 | server.py:179 | evaluate_round 53 received 2 results and 0 failures
DEBUG flower 2022-12-21 17:18:32,677 | server.py:215 | fit_round 54: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 17:22:14,540 | server.py:229 | fit_round 54 received 2 results and 0 failures
