DEBUG flwr 2023-04-13 05:19:46,336 | server.py:229 | fit_round 36 received 34 results and 0 failures
DEBUG flwr 2023-04-13 05:19:46,372 | server.py:165 | evaluate_round 36: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 05:23:14,170 | server.py:179 | evaluate_round 36 received 34 results and 0 failures
DEBUG flwr 2023-04-13 05:23:14,170 | server.py:215 | fit_round 37: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 05:24:04,950 | server.py:229 | fit_round 37 received 34 results and 0 failures
DEBUG flwr 2023-04-13 05:24:04,984 | server.py:165 | evaluate_round 37: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 05:27:32,302 | server.py:179 | evaluate_round 37 received 34 results and 0 failures
DEBUG flwr 2023-04-13 05:27:32,303 | server.py:215 | fit_round 38: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 05:28:22,045 | server.py:229 | fit_round 38 received 34 results and 0 failures
DEBUG flwr 2023-04-13 05:28:22,078 | server.py:165 | evaluate_round 38: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 05:31:49,361 | server.py:179 | evaluate_round 38 received 34 results and 0 failures
DEBUG flwr 2023-04-13 05:31:49,361 | server.py:215 | fit_round 39: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 05:32:38,539 | server.py:229 | fit_round 39 received 34 results and 0 failures
DEBUG flwr 2023-04-13 05:32:38,575 | server.py:165 | evaluate_round 39: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 05:36:08,192 | server.py:179 | evaluate_round 39 received 34 results and 0 failures
DEBUG flwr 2023-04-13 05:36:08,192 | server.py:215 | fit_round 40: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 05:37:00,268 | server.py:229 | fit_round 40 received 34 results and 0 failures
DEBUG flwr 2023-04-13 05:37:00,302 | server.py:165 | evaluate_round 40: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 05:40:29,520 | server.py:179 | evaluate_round 40 received 34 results and 0 failures
DEBUG flwr 2023-04-13 05:40:29,520 | server.py:215 | fit_round 41: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 05:41:19,215 | server.py:229 | fit_round 41 received 34 results and 0 failures
DEBUG flwr 2023-04-13 05:41:19,249 | server.py:165 | evaluate_round 41: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 05:44:46,695 | server.py:179 | evaluate_round 41 received 34 results and 0 failures
DEBUG flwr 2023-04-13 05:44:46,695 | server.py:215 | fit_round 42: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 05:45:37,220 | server.py:229 | fit_round 42 received 34 results and 0 failures
DEBUG flwr 2023-04-13 05:45:37,254 | server.py:165 | evaluate_round 42: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 05:49:04,811 | server.py:179 | evaluate_round 42 received 34 results and 0 failures
DEBUG flwr 2023-04-13 05:49:04,811 | server.py:215 | fit_round 43: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 05:49:54,932 | server.py:229 | fit_round 43 received 34 results and 0 failures
DEBUG flwr 2023-04-13 05:49:54,966 | server.py:165 | evaluate_round 43: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 05:53:21,647 | server.py:179 | evaluate_round 43 received 34 results and 0 failures
DEBUG flwr 2023-04-13 05:53:21,647 | server.py:215 | fit_round 44: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 05:54:11,189 | server.py:229 | fit_round 44 received 34 results and 0 failures
DEBUG flwr 2023-04-13 05:54:11,223 | server.py:165 | evaluate_round 44: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 05:57:39,419 | server.py:179 | evaluate_round 44 received 34 results and 0 failures
DEBUG flwr 2023-04-13 05:57:39,419 | server.py:215 | fit_round 45: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 05:58:31,302 | server.py:229 | fit_round 45 received 34 results and 0 failures
DEBUG flwr 2023-04-13 05:58:31,335 | server.py:165 | evaluate_round 45: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 06:01:59,587 | server.py:179 | evaluate_round 45 received 34 results and 0 failures
