Round,Real Time[s],Sim Time[s],Accuracy,Loss,Precision,Recall,F-score,received,failure,p_rate[%]
97,7594.952219583,2910,0.6306630663066307,1.1900689601898193,0.6267806544133538,0.6306630663066307,0.6270658472265688,1,0,100.0
98,7673.315146833,2940,0.6291629162916291,1.2194536924362183,0.6381115938901762,0.6291629162916291,0.6270528027329956,1,0,100.0
99,7752.538366291,2970,0.6278627862786279,1.218581199645996,0.6286695304402214,0.6278627862786279,0.6259641714133931,1,0,100.0
100,7835.493899041,3000,0.6272627262726272,1.2159092426300049,0.6328958347715414,0.6272627262726272,0.6284419885832361,1,0,100.0
101,7910.12398,3030,0.628062806280628,1.209146499633789,0.6298139927690236,0.628062806280628,0.6265045618323626,1,0,100.0
102,7984.839898166,3060,0.6287628762876287,1.2292227745056152,0.6302040226294383,0.6287628762876287,0.6270190516073787,1,0,100.0
103,8059.893343833,3090,0.6261626162616262,1.2408649921417236,0.6333739973885493,0.6261626162616262,0.6287069511007739,1,0,100.0
104,8135.16908225,3120,0.6234623462346235,1.2614253759384155,0.6326866068550645,0.6234623462346235,0.6252449000372448,1,0,100.0
105,8214.831184458,3150,0.6254625462546255,1.251742959022522,0.631359249341181,0.6254625462546255,0.6267312115810808,1,0,100.0
106,8293.362749666,3180,0.6310631063106311,1.247133731842041,0.6283158810411056,0.6310631063106311,0.6269824694312196,1,0,100.0
107,8372.818315458,3210,0.6270627062706271,1.2664412260055542,0.6357264370650751,0.6270627062706271,0.6294173403979001,1,0,100.0
108,8451.943994875,3240,0.6308630863086309,1.2655919790267944,0.6333232308252779,0.6308630863086309,0.6303958574511818,1,0,100.0
109,8531.269454875,3270,0.6246624662466247,1.3026924133300781,0.6258681535303177,0.6246624662466247,0.6220763901383294,1,0,100.0
110,8613.14618175,3300,0.6304630463046305,1.286252737045288,0.62954246600468,0.6304630463046305,0.6287381893535682,1,0,100.0
111,8695.305823291,3330,0.6248624862486248,1.2965954542160034,0.6266269048259374,0.6248624862486248,0.6219282814097162,1,0,100.0
112,8774.923229833,3360,0.6256625662566256,1.3037776947021484,0.6234422641705084,0.6256625662566256,0.6228827283024542,1,0,100.0
113,8856.345446916,3390,0.6131613161316132,1.394433856010437,0.6210280682637835,0.6131613161316132,0.6090143814013456,1,0,100.0
114,8937.427128416,3420,0.6228622862286228,1.3312023878097534,0.625519254246885,0.6228622862286228,0.6222374928298887,1,0,100.0
115,9018.939829416,3450,0.6267626762676267,1.335170865058899,0.6252537109931602,0.6267626762676267,0.6238419585291811,1,0,100.0
116,9099.653073958,3480,0.6241624162416242,1.3479493856430054,0.6250666630269708,0.6241624162416242,0.6228455536614866,1,0,100.0
117,9180.2215055,3510,0.6233623362336234,1.3614948987960815,0.6278662514807195,0.6233623362336234,0.6236266296619837,1,0,100.0
118,9260.856416583,3540,0.6252625262526252,1.3657405376434326,0.6241875540073965,0.6252625262526252,0.6236737032826014,1,0,100.0
119,9333.715610458,3570,0.6150615061506151,1.426533579826355,0.6217275146330379,0.6150615061506151,0.6132425541140111,1,0,100.0
120,9407.730078375,3600,0.6196619661966196,1.4129163026809692,0.6260495360517612,0.6196619661966196,0.6199590635761003,1,0,100.0
121,9482.977179291,3630,0.6208620862086208,1.423317551612854,0.6237828224426686,0.6208620862086208,0.6186218387874841,1,0,100.0
122,9564.363370416,3660,0.6242624262426243,1.4259165525436401,0.6236766530141764,0.6242624262426243,0.6216241746060841,1,0,100.0
123,9644.454513125,3690,0.6253625362536254,1.4098315238952637,0.6228456474905447,0.6253625362536254,0.6225658905962834,1,0,100.0
124,9724.515672541,3720,0.6215621562156216,1.416018009185791,0.6212023609122506,0.6215621562156216,0.619980367984473,1,0,100.0
125,9806.632421083,3750,0.6233623362336234,1.4362578392028809,0.6253302493840815,0.6233623362336234,0.6232200517682994,1,0,100.0
126,9888.552824125,3780,0.6205620562056205,1.4611966609954834,0.6216924469793402,0.6205620562056205,0.618499859285365,1,0,100.0
127,9967.306119958,3810,0.6169616961696169,1.4756004810333252,0.616940811366317,0.6169616961696169,0.6141570184979684,1,0,100.0
128,10046.558198541,3840,0.6175617561756176,1.4825358390808105,0.6268651408943161,0.6175617561756176,0.6192940264340595,1,0,100.0
129,10119.054314166,3870,0.6171617161716172,1.498368501663208,0.6166696986889815,0.6171617161716172,0.6150560085330198,1,0,100.0
130,10189.211185166,3900,0.6223622362236224,1.5088176727294922,0.622823259231463,0.6223622362236224,0.6203739862410449,1,0,100.0
131,10260.265591333,3930,0.6213621362136214,1.4979586601257324,0.6243441129805062,0.6213621362136214,0.6219255710941015,1,0,100.0
132,10336.683087166,3960,0.6241624162416242,1.510545015335083,0.6287726701047297,0.6241624162416242,0.6256622951569591,1,0,100.0
133,10411.963720791,3990,0.6152615261526153,1.5428543090820312,0.6179754481635461,0.6152615261526153,0.6156921959321886,1,0,100.0
134,10485.563363916,4020,0.6154615461546155,1.552319049835205,0.6173490317405517,0.6154615461546155,0.6148564224377983,1,0,100.0
135,10559.195782416,4050,0.6116611661166117,1.59194815158844,0.6208132495042,0.6116611661166117,0.6129257810994748,1,0,100.0
136,10633.003178208,4080,0.6155615561556156,1.57349693775177,0.6138953635515263,0.6155615561556156,0.6114979494681114,1,0,100.0
137,10707.940917916,4110,0.6126612661266126,1.6009149551391602,0.6179223636134529,0.6126612661266126,0.6127208305300316,1,0,100.0
138,10784.414643666,4140,0.6060606060606061,1.6416810750961304,0.6165152846615092,0.6060606060606061,0.6053747747096122,1,0,100.0
139,10861.221169291,4170,0.6194619461946195,1.6168274879455566,0.6193777084030228,0.6194619461946195,0.6185722123094933,1,0,100.0
